Designator,Mid X,Mid Y,Rotation,Layer
BT1,152.5,-87.5,0.0,top
BZ1,152.5,-134.5,0.0,top
D1,180.02,-108.75,0.0,top
D2,180.02,-116.75,0.0,top
D3,152.48,-112.0,0.0,top
D4,124.73,-108.5,0.0,top
D5,124.98,-116.25,0.0,top
Q1,152.73,-119.115,0.0,top
R1,171.75,-107.0,0.0,top
R2,171.69,-118.0,0.0,top
R3,152.5,-103.69,90.0,top
R4,133.31,-107.0,180.0,top
R5,145.75,-112.94,270.0,top
R6,160.25,-134.44,90.0,top
R7,160.3,-112.25,0.0,top
R8,144.5,-134.56,270.0,top
SW1,133.5,-112.75,0.0,top
SW2,171.5,-112.271519,0.0,top
